iter	Quantile:alpha=0.025
0	0.2015625855
1	0.2011815823
2	0.200476751
3	0.1997985266
4	0.1992956263
5	0.1987138514
6	0.1982750903
7	0.1978248439
8	0.1972717659
9	0.1968223849
10	0.1963974285
11	0.1960126511
12	0.1956045333
13	0.1951635374
14	0.1946582943
15	0.1942855178
16	0.1939829165
17	0.1936504559
18	0.1932448634
19	0.1928038684
20	0.1925416883
21	0.1921169048
22	0.1917733574
23	0.1913818666
24	0.1910430327
25	0.1906027015
26	0.1901438409
27	0.1896876279
28	0.1893435959
29	0.1890744864
30	0.1888170702
31	0.18845264
32	0.1880596185
33	0.187685111
34	0.1874719569
35	0.1871445197
36	0.186815822
37	0.1864025149
38	0.186075938
39	0.1858090678
40	0.1853836053
41	0.1850118539
42	0.1846645118
43	0.1844184427
44	0.184095624
45	0.1837155084
46	0.1834528438
47	0.183124851
48	0.1829471028
49	0.1827045541
50	0.182456908
51	0.1820889775
52	0.1818398735
53	0.1814959579
54	0.181250062
55	0.1810182119
56	0.1808375231
57	0.1805260386
58	0.1802882139
59	0.1799440737
60	0.1797225299
61	0.1793305636
62	0.1790092531
63	0.1787208107
64	0.1784487421
65	0.1781745739
66	0.1780201211
67	0.1777474575
68	0.177532925
69	0.1772665599
70	0.177019171
71	0.1767888676
72	0.1766113448
73	0.1763689969
74	0.1762485304
75	0.1760730129
76	0.1758592927
77	0.1757105071
78	0.1755129379
79	0.1753670971
80	0.1752618501
81	0.1750387905
82	0.1749143161
83	0.1747893547
84	0.1745578377
85	0.1743191741
86	0.1741835179
87	0.1739658225
88	0.1738410263
89	0.1736071771
90	0.1734639199
91	0.1733423652
92	0.1732142715
93	0.1729988614
94	0.1728869747
95	0.172493354
96	0.172362261
97	0.1721286415
98	0.1719475297
99	0.1718581331
100	0.1717494037
101	0.1715926535
102	0.17147625
103	0.171388524
104	0.1711131819
105	0.1709693156
106	0.1707953588
107	0.1706471492
108	0.1704862813
109	0.1703158362
110	0.1701304854
111	0.1699708475
112	0.1697430441
113	0.1695560635
114	0.16938727
115	0.1691727142
116	0.1689748079
117	0.1687705767
118	0.1685221712
119	0.1682933248
120	0.16817853
121	0.1679368786
122	0.1677420211
123	0.1675298996
124	0.1673329504
125	0.167071195
126	0.1669268469
127	0.1667063326
128	0.166524566
129	0.1663619242
130	0.1661525258
131	0.1659783685
132	0.1657722964
133	0.1656500187
134	0.1655085452
135	0.1653478146
136	0.1651768368
137	0.1649999356
138	0.1648352712
139	0.1646301028
140	0.1644872778
141	0.1643757212
142	0.1641310183
143	0.1639635523
144	0.1638464856
145	0.1637427779
146	0.1636066851
147	0.1634766667
148	0.1633541437
149	0.1632417812
150	0.1630585338
151	0.1629761935
152	0.162846465
153	0.1627078042
154	0.1625779338
155	0.1624545055
156	0.1623523465
157	0.1622351628
158	0.1620885943
159	0.1619747743
160	0.161888735
161	0.1618018692
162	0.1617010046
163	0.1616420149
164	0.1614805396
165	0.1614114582
166	0.161341242
167	0.1612036097
168	0.1611425093
169	0.1610292338
170	0.1609166601
171	0.1608222728
172	0.1607669734
173	0.1605646959
174	0.1603777422
175	0.1602331863
176	0.1601731881
177	0.1599792869
178	0.1598962782
179	0.1597897198
180	0.1596326882
181	0.1595031553
182	0.1594424193
183	0.159353899
184	0.1592513227
185	0.159143546
186	0.1590251295
187	0.1589072145
188	0.1587936691
189	0.1587264951
190	0.1585426387
191	0.1584888754
192	0.1583226222
193	0.1582171407
194	0.1580496308
195	0.1579458309
196	0.1578016586
197	0.1577053974
198	0.1575609085
199	0.1574849116
200	0.1574228056
201	0.1573212585
202	0.1571797287
203	0.1570756534
204	0.1569590993
205	0.1569147622
206	0.1568380692
207	0.1567694801
208	0.1566729586
209	0.1566228011
210	0.1565679113
211	0.1565093917
212	0.156462437
213	0.1563859899
214	0.1561637334
215	0.1559864281
216	0.1558842725
217	0.1557390197
218	0.1556422878
219	0.1554339167
220	0.1552835228
221	0.1552062052
222	0.1549827373
223	0.1548956287
224	0.1548698404
225	0.1548048215
226	0.1546657018
227	0.1545683095
228	0.1545159926
229	0.1544394469
230	0.1543439499
231	0.1542780423
232	0.1540921738
233	0.1540287923
234	0.1539721231
235	0.1539028483
236	0.153756676
237	0.1536737173
238	0.1535976407
239	0.1535261347
240	0.153464404
241	0.1533253971
242	0.1531806545
243	0.1530496744
244	0.1529894536
245	0.1529494301
246	0.1527918397
247	0.1526473872
248	0.1524699795
249	0.1524210054
250	0.1522610984
251	0.1520870408
252	0.151925782
253	0.1517863079
254	0.1517293549
255	0.1515545461
256	0.1513698705
257	0.1512322143
258	0.1511401897
259	0.1510085007
260	0.1508419523
261	0.1507050894
262	0.1505521699
263	0.150332316
264	0.1502030379
265	0.1500646463
266	0.1499514732
267	0.1498034629
268	0.1496875213
269	0.1495407061
270	0.1494471479
271	0.1492666807
272	0.1491724075
273	0.1490557302
274	0.1489935479
275	0.1489528633
276	0.1488300722
277	0.1487634913
278	0.1486538975
279	0.1485395392
280	0.1484627469
281	0.1483668949
282	0.1482656606
283	0.1482039331
284	0.1481021894
285	0.1480243184
286	0.1478979337
287	0.1478202136
288	0.147769192
289	0.1476922006
290	0.1476455378
291	0.1475695506
292	0.1474875154
293	0.1474292228
294	0.147322897
295	0.147223198
296	0.1471242774
297	0.1470683038
298	0.147011804
299	0.1469081686
300	0.1468254026
301	0.146748554
302	0.146672885
303	0.1465593845
304	0.1464242052
305	0.1463590956
306	0.146319142
307	0.146248845
308	0.14616206
309	0.1460877657
310	0.146036732
311	0.1459860947
312	0.1459061985
313	0.1458646641
314	0.1457946054
315	0.1457150519
316	0.14567752
317	0.1456252933
318	0.1455654305
319	0.1455177781
320	0.1454348941
321	0.1453390385
322	0.145158061
323	0.1450706148
324	0.1449544185
325	0.144859262
326	0.1448227688
327	0.144762329
328	0.1447044763
329	0.144661969
330	0.1446242829
331	0.1445553183
332	0.144483664
333	0.1444154389
334	0.1443864311
335	0.1443372135
336	0.1442785229
337	0.1442123629
338	0.1441574072
339	0.1441269816
340	0.1440732531
341	0.1440357418
342	0.143998561
343	0.1439719169
344	0.1438102665
345	0.1437628084
346	0.1437346043
347	0.1436595719
348	0.1435832216
349	0.1434689441
350	0.1433893028
351	0.1433457209
352	0.1433284231
353	0.1432495706
354	0.1432215388
355	0.14315653
356	0.1430794643
357	0.1429805521
358	0.1429355832
359	0.1428154291
360	0.1427850144
361	0.1426800487
362	0.1425971462
363	0.1425150982
364	0.1423928039
365	0.1422585742
366	0.1421977913
367	0.1421723615
368	0.1420740573
369	0.1419617159
370	0.141924734
371	0.1418847103
372	0.141860326
373	0.1418369801
374	0.1418133347
375	0.1417782324
376	0.1417024798
377	0.1416076164
378	0.1415690658
379	0.1415135856
380	0.1414804121
381	0.1414392727
382	0.141414965
383	0.1413125293
384	0.1412961381
385	0.1412084489
386	0.1411018119
387	0.1410861587
388	0.1410377137
389	0.1409778045
390	0.1409377567
391	0.1408942999
392	0.1408525698
393	0.1408347336
394	0.1408087475
395	0.1407814568
396	0.1407475957
397	0.1406690934
398	0.1406482069
399	0.1406289211
400	0.1406024663
401	0.1405576746
402	0.1405325967
403	0.1405111616
404	0.1404596586
405	0.1403408276
406	0.1402939772
407	0.140249747
408	0.1401711945
409	0.1401506606
410	0.1401381022
411	0.1400512923
412	0.1400376663
413	0.1399448648
414	0.1399190698
415	0.1398976674
416	0.1398181489
417	0.1397323426
418	0.1396715175
419	0.1395836605
420	0.1395661293
421	0.1395097942
422	0.139472989
423	0.1394599625
424	0.1393791142
425	0.1393603787
426	0.1393161743
427	0.1392346168
428	0.1391932702
429	0.1391818981
430	0.1391517054
431	0.1391124083
432	0.1390346419
433	0.138955131
434	0.1389120382
435	0.1388472383
436	0.1388063706
437	0.1387404389
438	0.1386578353
439	0.1385999628
440	0.1385434568
441	0.1385177851
442	0.1384392938
443	0.1383958259
444	0.1383725952
445	0.138334837
446	0.1382945605
447	0.1382066986
448	0.1380640601
449	0.13802181
450	0.1379920246
451	0.137965568
452	0.1379536812
453	0.1379380291
454	0.1378777569
455	0.1378553985
456	0.13779654
457	0.1377638724
458	0.1377036886
459	0.1376637464
460	0.1375317611
461	0.1374680811
462	0.1374271156
463	0.1373660095
464	0.1373083938
465	0.1372789387
466	0.1372209588
467	0.1371905466
468	0.1371568637
469	0.1371415959
470	0.1370979284
471	0.1370566448
472	0.1370171167
473	0.1369847298
474	0.1369045724
475	0.1368857507
476	0.1368720991
477	0.1368448552
478	0.1368293643
479	0.1368158412
480	0.136740291
481	0.1367078905
482	0.1366372081
483	0.1365888626
484	0.1365774764
485	0.1365560656
486	0.1365004353
487	0.1364297619
488	0.1363781445
489	0.1363262816
490	0.136319054
491	0.1362944177
492	0.136248311
493	0.136187231
494	0.136161887
495	0.1361534366
496	0.1360642783
497	0.1359913265
498	0.1359492777
499	0.1359060288
500	0.135896675
501	0.1358550368
502	0.1358082768
503	0.1357997274
504	0.1357827197
505	0.1357370554
506	0.1356964804
507	0.1356495846
508	0.1356165917
509	0.1355582916
510	0.135526157
511	0.1355159286
512	0.1354506197
513	0.1354315738
514	0.1354215142
515	0.1353854414
516	0.1353254311
517	0.1352890027
518	0.1352308329
519	0.1352219674
520	0.1352150889
521	0.135196671
522	0.1351629972
523	0.1351252639
524	0.1350797605
525	0.1350368753
526	0.1350041169
527	0.1349644207
528	0.1348972516
529	0.1348519182
530	0.1348136004
531	0.1348018823
532	0.1347747248
533	0.1347420324
534	0.1347208464
535	0.1346770439
536	0.1346660643
537	0.1346156249
538	0.1345628187
539	0.1345487161
540	0.1345126982
541	0.1344736497
542	0.1344395821
543	0.1343808602
544	0.1343239796
545	0.1342919522
546	0.1342454165
547	0.1342145393
548	0.1341802393
549	0.1341638617
550	0.1341511014
551	0.134080917
552	0.1340448752
553	0.1339951428
554	0.1339440944
555	0.1339089783
556	0.1338822588
557	0.1338440135
558	0.1338033703
559	0.133752281
560	0.1336982893
561	0.1336816295
562	0.1336660426
563	0.1336319609
564	0.133592042
565	0.133537394
566	0.1335040486
567	0.1334738499
568	0.1334434589
569	0.1334055848
570	0.1333730672
571	0.1333428588
572	0.1333156578
573	0.1332712768
574	0.1332355117
575	0.1332092791
576	0.133174515
577	0.1331407351
578	0.1331092163
579	0.1330889854
580	0.1330610074
581	0.133031029
582	0.1330208109
583	0.1329792507
584	0.1329565566
585	0.132918451
586	0.132895599
587	0.1328609698
588	0.1328310324
589	0.1327981327
590	0.132769795
591	0.1327487913
592	0.1327212052
593	0.13269395
594	0.1326568432
595	0.1326315123
596	0.1326059689
597	0.1325395933
598	0.1324867441
599	0.1324487034
600	0.132398336
601	0.1323690881
602	0.1323534312
603	0.1323279365
604	0.1323224503
605	0.1322715268
606	0.1322596558
607	0.1322161022
608	0.1322061077
609	0.1321951783
610	0.1321842059
611	0.1321606249
612	0.132128654
613	0.1321058756
614	0.1320914079
615	0.1320648264
616	0.1320473616
617	0.1319696067
618	0.1319617588
619	0.1319383643
620	0.1318990228
621	0.1318901883
622	0.1318399536
623	0.1317982314
624	0.1317881824
625	0.1317672399
626	0.1317406821
627	0.1317165975
628	0.1316950802
629	0.131641102
630	0.1315786364
631	0.1315351909
632	0.1314967146
633	0.1314745604
634	0.1314624129
635	0.131390923
636	0.1313480563
637	0.1313106235
638	0.1312646094
639	0.1312498433
640	0.1312244978
641	0.1312017436
642	0.1311967935
643	0.1311533808
644	0.1311340876
645	0.131113454
646	0.1310980142
647	0.1310880126
648	0.1310635069
649	0.1310298616
650	0.1309989993
651	0.1309855378
652	0.1309713581
653	0.1309517843
654	0.1309344101
655	0.1308797549
656	0.1308752915
657	0.1308474563
658	0.1308251869
659	0.1308042614
660	0.1307657663
661	0.1307410287
662	0.1307209348
663	0.1306975225
664	0.1306579363
665	0.1306549282
666	0.1306390719
667	0.1306347172
668	0.1305855184
669	0.1305751694
670	0.1305358256
671	0.1305244123
672	0.1304783717
673	0.1304633316
674	0.130420808
675	0.1304165925
676	0.1303864737
677	0.1303424459
678	0.1303308426
679	0.1302963737
680	0.1302813304
681	0.1302675167
682	0.1302460176
683	0.1302225783
684	0.1302040886
685	0.130198344
686	0.1301645347
687	0.1301506856
688	0.1301250434
689	0.1300921187
690	0.1300712264
691	0.130044984
692	0.130023343
693	0.1300047905
694	0.1299959396
695	0.1299887037
696	0.1299692464
697	0.1299631207
698	0.1299387782
699	0.1299157687
700	0.1298891325
701	0.1298777534
702	0.1298601774
703	0.129837768
704	0.1298052442
705	0.1297826111
706	0.1297513345
707	0.1297274716
708	0.1297049674
709	0.1296866038
710	0.1296649905
711	0.1296267285
712	0.1295852326
713	0.1295509042
714	0.1295451274
715	0.1295333424
716	0.1295199331
717	0.1295025928
718	0.1294836215
719	0.1294406175
720	0.1294149895
721	0.1294109645
722	0.1293698957
723	0.1293389871
724	0.1293195106
725	0.1292796128
726	0.1292736014
727	0.1292609635
728	0.1292396027
729	0.1291973581
730	0.1291855799
731	0.1291487594
732	0.1291435541
733	0.1291110343
734	0.1291005189
735	0.1290816009
736	0.1290486438
737	0.1290070696
738	0.1289792086
739	0.1289620184
740	0.128931685
741	0.1289131381
742	0.1288916274
743	0.1288839517
744	0.1288494059
745	0.1288332726
746	0.1288174849
747	0.1288021919
748	0.1287479024
749	0.1287285957
750	0.1287056853
751	0.1286979883
752	0.1286803601
753	0.1286764111
754	0.128649988
755	0.1286338484
756	0.1286148732
757	0.1285893328
758	0.128566779
759	0.1285491983
760	0.1285305169
761	0.1284952065
762	0.1284842251
763	0.1284513531
764	0.1284152574
765	0.1284048338
766	0.1283837748
767	0.1283549807
768	0.1283436316
769	0.1283382651
770	0.1283034826
771	0.1282945994
772	0.1282689884
773	0.1282658044
774	0.1282315488
775	0.1282068184
776	0.1281932654
777	0.128183304
778	0.1281535336
779	0.1281422846
780	0.1281293076
781	0.1280995933
782	0.1280932795
783	0.1280658994
784	0.1280390952
785	0.1280359268
786	0.1280260275
787	0.1280191302
788	0.1279974219
789	0.1279442628
790	0.1279264754
791	0.1278830264
792	0.1278645892
793	0.1278209702
794	0.1277955181
795	0.127780952
796	0.1277719894
797	0.1277210414
798	0.1277018291
799	0.1276854974
800	0.1276730311
801	0.1276257653
802	0.1276080929
803	0.1275974908
804	0.1275874577
805	0.1275721113
806	0.1275667923
807	0.1275310044
808	0.1275125772
809	0.1274870431
810	0.1274462922
811	0.1274226541
812	0.1274015355
813	0.1273782763
814	0.1273337521
815	0.1273302669
816	0.127327005
817	0.1273213747
818	0.1273114731
819	0.1272862738
820	0.1272835384
821	0.127269124
822	0.1272663409
823	0.1272482364
824	0.1272400995
825	0.1272312111
826	0.1271949493
827	0.1271708418
828	0.1271498487
829	0.1271391788
830	0.1271082234
831	0.1270954777
832	0.1270898925
833	0.1270779779
834	0.1270643299
835	0.1270469838
836	0.127026791
837	0.1270073239
838	0.1269653052
839	0.1269355015
840	0.1269180681
841	0.126900933
842	0.1268839482
843	0.1268695619
844	0.1268512338
845	0.1268487031
846	0.1268463203
847	0.1268267046
848	0.1268017398
849	0.1267815456
850	0.126774438
851	0.1267716879
852	0.1267641452
853	0.1267548363
854	0.1267298417
855	0.1266809574
856	0.1266755526
857	0.1266673967
858	0.1266301679
859	0.126613651
860	0.1266045033
861	0.1265848471
862	0.1265510038
863	0.1265281527
864	0.1264852358
865	0.1264642242
866	0.1264372373
867	0.1264258224
868	0.1264068066
869	0.1263771014
870	0.1263371445
871	0.1263326626
872	0.1263152919
873	0.1262891958
874	0.1262737345
875	0.1262542623
876	0.1262306282
877	0.1262162528
878	0.1262013357
879	0.1261750958
880	0.1261608052
881	0.126151366
882	0.1261378774
883	0.1261248526
884	0.126112792
885	0.1261001142
886	0.1260843647
887	0.1260799353
888	0.1260614032
889	0.1260436672
890	0.126013553
891	0.1259939347
892	0.1259708773
893	0.1259570375
894	0.1259460924
895	0.1259242385
896	0.125904836
897	0.125861101
898	0.1258270695
899	0.1258065837
900	0.1257837601
901	0.1257734047
902	0.1257542413
903	0.1257481126
904	0.1257262173
905	0.1257190625
906	0.1256903469
907	0.1256654745
908	0.1256455125
909	0.1256369608
910	0.1256274331
911	0.1256085045
912	0.1256022634
913	0.125585344
914	0.1255756001
915	0.1255560418
916	0.1255293372
917	0.1255093547
918	0.1254922294
919	0.1254707857
920	0.1254440711
921	0.1254302002
922	0.12541986
923	0.1254010829
924	0.1253708196
925	0.1253529421
926	0.1253496177
927	0.1253406835
928	0.1253256671
929	0.1253201829
930	0.1253069083
931	0.1252962707
932	0.1252836625
933	0.1252693948
934	0.1252611703
935	0.1252559273
936	0.125242618
937	0.1252227226
938	0.1252089187
939	0.1251914245
940	0.12518569
941	0.1251722125
942	0.1251502116
943	0.1251314203
944	0.1251101505
945	0.1250939733
946	0.1250812201
947	0.1250677204
948	0.1250585631
949	0.1250377984
950	0.125018799
951	0.1249963779
952	0.1249760319
953	0.1249565221
954	0.1249359496
955	0.1249222746
956	0.1249122052
957	0.1248925609
958	0.1248784019
959	0.124863731
960	0.1248550183
961	0.1248366168
962	0.1248223421
963	0.1247847429
964	0.1247777189
965	0.1247550509
966	0.1247316759
967	0.1247187721
968	0.124693892
969	0.124682044
970	0.1246729986
971	0.124655979
972	0.1246424674
973	0.12463822
974	0.1246233012
975	0.124619763
976	0.1245911959
977	0.1245848379
978	0.124565729
979	0.124552961
980	0.1245365181
981	0.1245126806
982	0.1244958765
983	0.1244931714
984	0.1244747282
985	0.1244598637
986	0.1244499509
987	0.1244425378
988	0.1244341683
989	0.1244146841
990	0.1244028761
991	0.1243878633
992	0.1243701849
993	0.1243554558
994	0.124344101
995	0.1243205178
996	0.1242944065
997	0.1242818425
998	0.1242705532
999	0.1242655864
