iter	Passed	Remaining
399	34656	51984
400	34741	51895
401	34822	51801
402	34906	51710
403	34997	51629
404	35083	51542
405	35175	51464
406	35268	51386
407	35365	51314
408	35458	51237
409	35564	51177
410	35664	51110
411	35756	51031
412	35840	50939
413	35926	50852
414	36015	50768
415	36104	50684
416	36193	50601
417	36305	50549
418	36420	50502
419	36521	50435
420	36621	50365
421	36721	50295
422	36810	50212
423	36900	50129
424	36993	50049
425	37095	49983
426	37207	49930
427	37295	49843
428	37387	49763
429	37482	49686
430	37559	49585
431	37650	49503
432	37734	49412
433	37817	49320
434	37909	49238
435	37992	49145
436	38083	49064
437	38173	48981
438	38268	48903
439	38360	48822
440	38451	48740
441	38560	48680
442	38642	48586
443	38726	48495
444	38810	48403
445	38900	48320
446	39002	48251
447	39106	48185
448	39204	48110
449	39300	48034
450	39401	47963
451	39488	47875
452	39575	47787
453	39660	47697
454	39748	47610
455	39862	47555
456	39975	47497
457	40064	47412
458	40159	47334
459	40249	47249
460	40372	47203
461	40473	47131
462	40558	47040
463	40652	46960
464	40743	46876
465	40845	46805
466	40957	46745
467	41062	46678
468	41166	46608
469	41263	46531
470	41356	46449
471	41452	46370
472	41541	46284
473	41634	46202
474	41728	46121
475	41813	46030
476	41888	45928
477	41974	45837
478	42055	45742
479	42136	45648
480	42225	45560
481	42310	45470
482	42394	45379
483	42480	45289
484	42563	45195
485	42655	45112
486	42740	45022
487	42825	44931
488	42912	44842
489	43001	44756
490	43080	44659
491	43162	44566
492	43248	44477
493	43336	44389
494	43425	44302
495	43508	44210
496	43597	44123
497	43686	44037
498	43770	43945
499	43856	43856
500	43948	43772
501	44045	43694
502	44149	43623
503	44238	43535
504	44337	43459
505	44420	43367
506	44505	43276
507	44595	43190
508	44681	43101
509	44764	43009
510	44846	42915
511	44929	42823
512	45020	42738
513	45109	42652
514	45191	42558
515	45275	42467
516	45360	42377
517	45442	42284
518	45520	42187
519	45603	42095
520	45692	42009
521	45773	41915
522	45856	41822
523	45945	41736
524	46025	41642
525	46106	41548
526	46186	41454
527	46268	41361
528	46354	41271
529	46435	41178
530	46520	41088
531	46602	40995
532	46680	40900
533	46761	40806
534	46845	40716
535	46934	40629
536	47020	40541
537	47101	40447
538	47183	40355
539	47264	40262
540	47346	40170
541	47423	40074
542	47511	39986
543	47591	39892
544	47678	39804
545	47762	39714
546	47842	39621
547	47928	39532
548	48013	39442
549	48098	39353
550	48185	39265
551	48274	39179
552	48358	39089
553	48439	38996
554	48527	38909
555	48605	38814
556	48690	38725
557	48773	38633
558	48859	38545
559	48959	38468
560	49047	38380
561	49134	38293
562	49224	38208
563	49305	38115
564	49387	38023
565	49473	37935
566	49556	37844
567	49635	37750
568	49716	37658
569	49796	37565
570	49885	37479
571	49973	37393
572	50057	37303
573	50138	37211
574	50216	37116
575	50295	37022
576	50375	36930
577	50455	36837
578	50539	36748
579	50616	36652
580	50700	36563
581	50781	36471
582	50864	36381
583	50951	36294
584	51034	36204
585	51115	36112
586	51197	36021
587	51277	35929
588	51360	35839
589	51452	35754
590	51539	35667
591	51635	35586
592	51726	35501
593	51812	35413
594	51897	35325
595	51981	35236
596	52068	35148
597	52154	35060
598	52242	34973
599	52340	34893
600	52431	34808
601	52515	34719
602	52600	34630
603	52684	34541
604	52761	34447
605	52842	34356
606	52928	34268
607	53015	34180
608	53094	34088
609	53179	34000
610	53264	33911
611	53347	33821
612	53433	33733
613	53516	33643
614	53606	33558
615	53684	33465
616	53773	33379
617	53859	33291
618	53936	33198
619	54017	33107
620	54104	33020
621	54206	32942
622	54305	32862
623	54406	32783
624	54500	32700
625	54601	32621
626	54701	32541
627	54795	32458
628	54888	32374
629	54981	32290
630	55080	32210
631	55171	32125
632	55265	32041
633	55370	31964
634	55479	31889
635	55597	31819
636	55704	31743
637	55788	31654
638	55885	31572
639	55963	31479
640	56039	31385
641	56122	31295
642	56198	31202
643	56278	31110
644	56366	31023
645	56447	30932
646	56529	30842
647	56611	30751
648	56698	30664
649	56781	30574
650	56861	30483
651	56944	30393
652	57025	30303
653	57107	30212
654	57190	30123
655	57277	30035
656	57378	29955
657	57480	29875
658	57568	29789
659	57660	29704
660	57748	29616
661	57834	29528
662	57926	29443
663	58016	29357
664	58105	29270
665	58197	29185
666	58279	29096
667	58359	29004
668	58440	28914
669	58531	28828
670	58623	28743
671	58729	28665
672	58832	28585
673	58937	28506
674	59027	28420
675	59108	28329
676	59190	28240
677	59279	28153
678	59358	28061
679	59443	27973
680	59527	27884
681	59622	27800
682	59731	27722
683	59833	27642
684	59935	27561
685	60032	27478
686	60121	27391
687	60213	27306
688	60309	27222
689	60414	27142
690	60515	27061
691	60618	26980
692	60723	26900
693	60824	26818
694	60938	26742
695	61049	26665
696	61165	26589
697	61275	26511
698	61374	26428
699	61471	26344
700	61572	26262
701	61677	26182
702	61767	26095
703	61868	26012
704	61958	25925
705	62057	25842
706	62171	25765
707	62278	25685
708	62388	25606
709	62494	25526
710	62604	25446
711	62718	25369
712	62831	25291
713	62935	25209
714	63028	25123
715	63134	25042
716	63223	24954
717	63310	24865
718	63409	24781
719	63500	24694
720	63588	24606
721	63682	24520
722	63773	24433
723	63868	24347
724	63958	24260
725	64048	24172
726	64149	24089
727	64239	24001
728	64332	23915
729	64436	23832
730	64530	23746
731	64648	23669
732	64750	23585
733	64855	23503
734	64957	23419
735	65053	23334
736	65157	23251
737	65261	23168
738	65350	23080
739	65438	22991
740	65526	22903
741	65618	22815
742	65706	22727
743	65809	22644
744	65904	22557
745	65992	22469
746	66083	22381
747	66164	22290
748	66246	22199
749	66345	22115
750	66450	22032
751	66537	21943
752	66631	21856
753	66730	21771
754	66840	21690
755	66937	21604
756	67026	21515
757	67113	21426
758	67196	21336
759	67278	21245
760	67363	21156
761	67445	21065
762	67530	20975
763	67613	20885
764	67696	20795
765	67785	20707
766	67903	20627
767	68010	20544
768	68109	20459
769	68211	20374
770	68300	20286
771	68407	20203
772	68492	20113
773	68572	20022
774	68657	19932
775	68745	19844
776	68840	19757
777	68930	19669
778	69030	19583
779	69135	19499
780	69244	19416
781	69343	19330
782	69451	19247
783	69561	19164
784	69663	19079
785	69754	18991
786	69848	18904
787	69934	18814
788	70018	18724
789	70110	18636
790	70205	18549
791	70289	18459
792	70378	18371
793	70468	18282
794	70566	18196
795	70669	18111
796	70766	18024
797	70868	17939
798	70995	17859
799	71099	17774
800	71178	17683
801	71262	17593
802	71344	17502
803	71433	17414
804	71523	17325
805	71602	17234
806	71689	17144
807	71782	17057
808	71870	16968
809	71967	16881
810	72056	16792
811	72139	16702
812	72230	16613
813	72315	16524
814	72403	16435
815	72488	16345
816	72572	16255
817	72656	16165
818	72737	16075
819	72820	15984
820	72982	15912
821	73103	15830
822	73198	15742
823	73313	15659
824	73436	15577
825	73521	15487
826	73605	15397
827	73697	15309
828	73781	15219
829	73870	15130
830	73954	15040
831	74034	14949
832	74110	14857
833	74192	14767
834	74274	14677
835	74351	14585
836	74440	14496
837	74526	14407
838	74606	14316
839	74688	14226
840	74773	14136
841	74862	14047
842	74950	13958
843	75032	13868
844	75111	13777
845	75194	13687
846	75276	13597
847	75358	13507
848	75437	13417
849	75516	13326
850	75599	13236
851	75681	13146
852	75762	13056
853	75841	12965
854	75921	12875
855	76000	12785
856	76084	12695
857	76168	12605
858	76252	12516
859	76337	12427
860	76419	12337
861	76499	12246
862	76580	12156
863	76659	12066
864	76742	11977
865	76825	11887
866	76904	11797
867	76980	11706
868	77062	11616
869	77139	11526
870	77223	11437
871	77308	11348
872	77388	11258
873	77472	11168
874	77551	11078
875	77633	10989
876	77715	10899
877	77793	10809
878	77877	10720
879	77952	10629
880	78035	10540
881	78116	10451
882	78215	10363
883	78343	10280
884	78456	10194
885	78554	10107
886	78641	10018
887	78739	9931
888	78823	9841
889	78909	9752
890	78992	9663
891	79077	9574
892	79154	9484
893	79242	9395
894	79323	9306
895	79407	9216
896	79498	9128
897	79579	9039
898	79665	8950
899	79751	8861
900	79827	8771
901	79912	8682
902	79992	8592
903	80073	8503
904	80169	8415
905	80252	8326
906	80336	8237
907	80415	8147
908	80504	8059
909	80595	7971
910	80675	7881
911	80756	7792
912	80848	7704
913	80930	7614
914	81013	7525
915	81092	7436
916	81176	7347
917	81260	7258
918	81344	7169
919	81424	7080
920	81510	6991
921	81591	6902
922	81678	6813
923	81761	6724
924	81851	6636
925	81942	6548
926	82041	6460
927	82134	6372
928	82231	6284
929	82318	6196
930	82410	6107
931	82520	6020
932	82639	5934
933	82754	5847
934	82849	5759
935	82935	5670
936	83019	5581
937	83111	5493
938	83222	5406
939	83329	5318
940	83416	5230
941	83516	5142
942	83648	5056
943	83733	4967
944	83822	4878
945	83914	4790
946	84001	4701
947	84085	4612
948	84168	4523
949	84248	4434
950	84335	4345
951	84418	4256
952	84500	4167
953	84581	4078
954	84662	3989
955	84748	3900
956	84835	3811
957	84937	3723
958	85019	3634
959	85104	3546
960	85194	3457
961	85278	3368
962	85363	3279
963	85460	3191
964	85549	3102
965	85632	3013
966	85718	2925
967	85803	2836
968	85887	2747
969	85967	2658
970	86053	2570
971	86177	2482
972	86286	2394
973	86413	2306
974	86506	2218
975	86621	2130
976	86745	2042
977	86846	1953
978	86944	1864
979	87045	1776
980	87130	1687
981	87222	1598
982	87309	1509
983	87429	1421
984	87528	1332
985	87621	1244
986	87704	1155
987	87791	1066
988	87883	977
989	87968	888
990	88056	799
991	88154	710
992	88251	622
993	88345	533
994	88436	444
995	88535	355
996	88629	266
997	88718	177
998	88808	88
999	88901	0
